OrderID,ProductID,UnitPrice,Quantity,Discount,LineTotalNoDiscount,LineTotal
10248,11,14.0,12,0.0,168.0,168.0
10248,42,9.8,10,0.0,98.0,98.0
10248,72,34.8,5,0.0,174.0,174.0
10249,14,18.6,9,0.0,167.4,167.4
10249,51,42.4,40,0.0,1696.0,1696.0
10250,41,7.7,10,0.0,77.0,77.0
10250,51,42.4,35,0.15,1484.0,1261.4
10250,65,16.8,15,0.15,252.0,214.2
10251,22,16.8,6,0.05,100.8,95.76
10251,57,15.6,15,0.05,234.0,222.3
10251,65,16.8,20,0.0,336.0,336.0
10252,20,64.8,40,0.05,2592.0,2462.4
10252,33,2.0,25,0.05,50.0,47.5
10252,60,27.2,40,0.0,1088.0,1088.0
10253,31,10.0,20,0.0,200.0,200.0
10253,39,14.4,42,0.0,604.8,604.8
10253,49,16.0,40,0.0,640.0,640.0
10254,24,3.6,15,0.15,54.0,45.9
10254,55,19.2,21,0.15,403.2,342.72
10254,74,8.0,21,0.0,168.0,168.0
10255,2,15.2,20,0.0,304.0,304.0
10255,16,13.9,35,0.0,486.5,486.5
10255,36,15.2,25,0.0,380.0,380.0
10255,59,44.0,30,0.0,1320.0,1320.0
10256,53,26.2,15,0.0,393.0,393.0
10256,77,10.4,12,0.0,124.8,124.8
10257,27,35.1,25,0.0,877.5,877.5
10257,39,14.4,6,0.0,86.4,86.4
10257,77,10.4,15,0.0,156.0,156.0
10258,2,15.2,50,0.2,760.0,608.0
10258,5,17.0,65,0.2,1105.0,884.0
10258,32,25.6,6,0.2,153.6,122.88
10259,21,8.0,10,0.0,80.0,80.0
10259,37,20.8,1,0.0,20.8,20.8
10260,41,7.7,16,0.25,123.2,92.4
10260,57,15.6,50,0.0,780.0,780.0
10260,62,39.4,15,0.25,591.0,443.25
10260,70,12.0,21,0.25,252.0,189.0
10261,21,8.0,20,0.0,160.0,160.0
10261,35,14.4,20,0.0,288.0,288.0
10262,5,17.0,12,0.2,204.0,163.2
10262,7,24.0,15,0.0,360.0,360.0
10262,56,30.4,2,0.0,60.8,60.8
10263,16,13.9,60,0.25,834.0,625.5
10263,24,3.6,28,0.0,100.8,100.8
10263,30,20.7,60,0.25,1242.0,931.5
10263,74,8.0,36,0.25,288.0,216.0
10264,2,15.2,35,0.0,532.0,532.0
10264,41,7.7,25,0.15,192.5,163.625
10265,17,31.2,30,0.0,936.0,936.0
10265,70,12.0,20,0.0,240.0,240.0
10266,12,30.4,12,0.05,364.8,346.56
10267,40,14.7,50,0.0,735.0,735.0
10267,59,44.0,70,0.15,3080.0,2618.0
